,Video_id,Title,Published_date,Views,Likes,Comments,Month
0,BZ28o5oXMvE,Rust being used in Ransomware,2023-04-19,75527,8283,59,Apr
1,K9vkWIpEFJs,IGDTUW College Review InShort,2023-04-18,33739,2897,134,Apr
2,bj3rCZKbLgY,Should you do BCA in 2023? All about BCA,2023-04-16,165854,10896,1452,Apr
3,42ZrKGaP3Rs,One Thing to Increase your Confidence,2023-04-14,125444,16365,88,Apr
4,di3_aVJy7Kw,How to find Internships with no skills?,2023-04-11,133704,17405,98,Apr
5,1g3kYtJf6Tw,Java or C++ or Python | Which language is best for Placements?,2023-04-10,353723,15436,994,Apr
6,Y3tGRG5US98,3 Mistakes to Avoid as a Coder,2023-04-09,325844,35662,151,Apr
7,h7LDnVsNRVI,What is DevOps? DevOps Explained | Simplest Explanation in Hindi,2023-04-06,138373,7336,664,Apr
8,Bf933DFF_FI,Should you do Competitive Coding in 2023? for all Coders,2023-04-04,182308,8042,384,Apr
9,-rx10TffM3g,Intuit CTC Breakdown,2023-04-03,120172,10453,250,Apr
10,SZmHoyikiYc,How did he got Internship at Google International in First year? Alpha 1.0 student,2023-03-31,153307,6498,480,Mar
11,MZ7h8rcfPo8,Big Reveal - Get Placement Ready with 4.0! |,2023-03-27,302482,12226,1664,Mar
12,NQ1wl-xTfv0,Get Placement Ready - Big Announcement for all Coders❤️,2023-03-24,327190,15073,1045,Mar
13,LIKtrrt2xdk,Amazon CTC Breakdown,2023-03-23,486083,33949,149,Mar
14,lCTh5iCTBec,How to Score More in College Exams? 5 Mistakes to avoid,2023-03-21,155420,10405,525,Mar
15,GlP6eeS-QQQ,How to monetize Open Source?,2023-03-20,181130,10872,81,Mar
16,miT4CK_5Sac,MNIT Jaipur College Review | InShort,2023-03-17,183477,14414,543,Mar
17,CR9P6rM0H9o,IIIT Allahabad College Review | In Short,2023-03-15,313231,25030,669,Mar
18,7X-TfHa3Q74,Shradha Didi invited at Microsoft Office | Open Source Day Seminar,2023-03-13,1078765,75154,183,Mar
19,hiNrsOx4UHw,Discipline & Hardwork will beat anything in the world🔥,2023-03-11,725378,74365,204,Mar
20,yu5IYO0fcS8,Are you getting bored from Coding? 5 Tips to enjoy Coding,2023-03-09,288773,14750,684,Mar
21,yk9keUhwSok,Skills to build in 2023,2023-03-06,686309,94148,237,Mar
22,IaSIsSgeVx4,A message for all students❤️,2023-03-05,595673,64397,379,Mar
23,N_iuN37-uuQ,Software Engineer without BTech? | NetApp - Student Interview,2023-03-04,132205,4703,499,Mar
24,EEbubZiAKDk,Top 10 Exams for Engineering Colleges,2023-02-28,804243,69736,436,Feb
25,zp81aX1zSYQ,Top 5 IITs of India | Oldest IITs of India,2023-02-25,240937,17942,381,Feb
26,KATM9yf8tXM,IIT Kanpur College Review InShort,2023-02-24,303229,24201,517,Feb
27,doSFDItcQrk,How to Prepare for Placements & Internships in 4 months?,2023-02-23,420704,23914,868,Feb
28,HfaCF7eWefw,Jadavpur University College Review Inshort,2023-02-20,570885,50533,498,Feb
29,7YRkQugpp3U,NIT Trichy College Review InShort,2023-02-17,195095,15670,656,Feb
30,2y8YZktCNj0,How this student got Internship of 1.5Lakh/Month?,2023-02-14,177646,4620,366,Feb
31,gO-qIeaPitk,Meeting my College Juniors❤️,2023-02-12,1606345,153027,503,Feb
32,uXn85kgphuA,BITS Pilani College Review | In Short,2023-02-11,1376113,87375,1250,Feb
33,mft5UgJYAXU,NIT Warangal College Review In Short,2023-02-10,195656,16974,621,Feb
34,cp3UD82R03A,IIT Bombay College Review in Short,2023-02-08,443030,47024,953,Feb
35,ID0-RbOEbvg,IIT Madras College Review in Short,2023-02-04,324009,34802,878,Feb
36,pdb6eOeSPok,Seminar at NIT Agartala by Shradha Didi @ApnaCollegeOfficial,2023-02-02,2551211,197383,714,Feb
37,EenMiF1QDuI,Do you have any Questions for me? Interview Qs,2023-01-31,685817,81128,155,Jan
38,eZvePsf0W_A,Seminar in DU by Shradha didi @ApnaCollegeOfficial,2023-01-28,1546719,119672,418,Jan
39,NGViboaAbSI,Must Watch : Surprise Honest Talk | Republic Day Special,2023-01-26,186511,10146,686,Jan
40,QXT475sMD3c,IIT Delhi | College Review In Short🔥,2023-01-24,813829,77969,260,Jan
41,DUgz47G4neM,How this student got Internship of Rs70K/month?,2023-01-23,360422,11542,555,Jan
42,4ve0YjLHQTg,What do Software Engineers do?,2023-01-22,379405,38034,111,Jan
43,F-l48mJs4LI,"Ranks for IITs, NITs & IIITs?",2023-01-20,338113,32057,304,Jan
44,a4bA8n5h_xg,3 Things I learnt from Microsoft,2023-01-19,547309,62758,123,Jan
45,uhDLHn6uVUg,STAR Method of Answering in Interviews,2023-01-17,261485,29577,90,Jan
