,Video_id,Title,Published_date,Views,Likes,Comments,Channel_Title,Month
0,8D_HbzZXy1I,Dealing With Heartbreaks Part 2 | Misunderstood The Assignment | Episode 3,2023-04-19,2806,131,10,BuzzFeed India,Apr
1,jHS7Ui_FV2c,Is anyone else as big of an SRK obsessed fan as Dhruv?,2023-04-18,6294,429,5,BuzzFeed India,Apr
2,-Ty_dbtMxws,Sushmit takes us through their celebration of Ambedkar Jayanti!,2023-04-16,2985,185,4,BuzzFeed India,Apr
3,AjyH15sG310,Taking Us Through Ambedkar Jayanti Celebrations is @thatgirlshruti,2023-04-15,4887,421,23,BuzzFeed India,Apr
4,EQ5tjp0humY,Ramzan Street Food Challenge | Iftar in Mumbai vs Bengaluru? | BuzzFeed India,2023-04-14,115237,4901,252,BuzzFeed India,Apr
5,75isOjJOW5Y,Moving Out Or Away Part 2 | Misunderstood The Assignment | Episode 1,2023-04-12,3707,149,9,BuzzFeed India,Apr
6,QiFW9ts6R80,We Ate Like Shahrukh Khan for a Day | BuzzFeed India,2023-04-07,184037,7749,165,BuzzFeed India,Apr
7,DBa3kABaFqg,Why Am I Losing My Friends? | Misunderstood The Assignment | Episode 7,2023-04-05,10773,466,28,BuzzFeed India,Apr
8,e-0RuCkT4ls,We Tasted Bengali Sweets For The First Time | BuzzFeed India,2023-03-31,119174,5695,288,BuzzFeed India,Mar
9,61WjJ9Pt3oQ,Identifying And Cutting Off Toxic People | Misunderstood The Assignment | Episode 6,2023-03-29,8328,324,17,BuzzFeed India,Mar
10,l21X8nj16pk,The Internet’s Boyfriend is back again! 🥵,2023-03-27,9066,315,3,BuzzFeed India,Mar
11,qyOV0LQReoo,It’s time we see a Bobby Deol x Suniel Shetty   ̶s̶h̶i̶r̶t̶l̶e̶s̶s̶ action packed movie! 👀,2023-03-26,8521,400,2,BuzzFeed India,Mar
12,cqjo9nbX3ow,We Let Chat GPT Decide What We Eat For A Day | BuzzFeed India,2023-03-24,167451,7965,158,BuzzFeed India,Mar
13,HPtOcjZ_zGg,Is this True? Or did Shreya make it up? 🤔,2023-03-23,18349,862,2,BuzzFeed India,Mar
14,0ZTR3ny2B8s,I Wish They Taught Me How To Do My Taxes In School | Misunderstood The Assignment | Episode 5,2023-03-22,9126,344,29,BuzzFeed India,Mar
15,0Bxsz1XfX_o,Did you guess any correctly? Or were you drooling the whole time? 🤤,2023-03-19,224028,11056,42,BuzzFeed India,Mar
16,bd4nXh76BFA,We Used Zomato Intercity To Swap Favourite Foods | BuzzFeed India,2023-03-17,162269,6772,128,BuzzFeed India,Mar
17,gzewHnJBONY,Breaking Away from Toxic Work Culture,2023-03-16,87649,6536,25,BuzzFeed India,Mar
18,5p1t4PDXGEE,Is Hustle Culture Worth It? Misunderstood The Assignment | Episode 4,2023-03-15,13069,531,22,BuzzFeed India,Mar
19,qmcXt_zBSD4,Team Hoe Phase or Team Solo Time? 👀,2023-03-14,20557,1027,3,BuzzFeed India,Mar
20,wdqpDSZB7Tg,We Tried The New Gourmet Menu From Dominos | BuzzFeed India,2023-03-10,199779,8055,281,BuzzFeed India,Mar
21,_bNt4jAYjdc,The 5 Stages of Heart Break  💔,2023-03-09,26427,975,4,BuzzFeed India,Mar
22,_ShBxmMnoFQ,Dealing With Heartbreaks | Misunderstood The Assignment | Episode 3,2023-03-08,16624,683,36,BuzzFeed India,Mar
23,xLSHxNz93hE,The Ranveer Singh one threw me off ngl. 👀,2023-03-07,287805,12830,16,BuzzFeed India,Mar
24,R39T7fz5pkE,Farhad was so real for this,2023-03-04,20820,1055,11,BuzzFeed India,Mar
25,5rIJGoMYzuk,Who Has The Best Mughlai Food Order? | BuzzFeed India,2023-03-03,269990,12359,305,BuzzFeed India,Mar
26,HkdSo0gB9Fc,Idk What Am I Doing In Life | Misunderstood The Assignment | Episode 2,2023-03-01,20388,886,50,BuzzFeed India,Mar
27,r-vvVgQyNEI,What are some crazy life saving tips you learnt when moving out? 👀,2023-02-28,238652,10008,14,BuzzFeed India,Feb
28,9146F4OLi6I,We Tried The Most Unpopular Items From The Baskin Robbins Menu | BuzzFeed India,2023-02-24,181727,7490,257,BuzzFeed India,Feb
29,j6jgQw-YJiM,Moving Out Or Away? | Misunderstood The Assignment | Episode 1,2023-02-22,46807,2394,94,BuzzFeed India,Feb
30,PEllTF7VfsE,Who Has The Best Bougie Food Order? | BuzzFeed India,2023-02-18,298938,12196,303,BuzzFeed India,Feb
31,GSh7mlLvN_Q,Frenemies Go On A Valentine's Day Date | BuzzFeed India,2023-02-11,202509,12150,304,BuzzFeed India,Feb
32,xUfDf1HnjGo,We Tried The Most Unpopular Items On The Faasos Menu | BuzzFeed India,2023-02-04,190156,7407,222,BuzzFeed India,Feb
33,dELyPZiHiD8,Value for Money Honey | Zara vs Calvin Klein vs Westside | BuzzFeed India,2023-02-01,82745,3456,86,BuzzFeed India,Feb
34,omuYuKIhQ3s,Who Has the Best 'Movie Time Snacks' Order? | BuzzFeed India,2023-01-28,253149,10650,291,BuzzFeed India,Jan
35,1cSVh5V78Lk,We Tasted The Most Unpopular Items On The KFC Menu | BuzzFeed India,2023-01-21,239216,10292,332,BuzzFeed India,Jan
36,mSk5fj1hA80,Taste Testing Weirdest Food Combinations We Could Find | BuzzFeed India,2023-01-14,209131,8021,307,BuzzFeed India,Jan
37,XbpW-meZyjI,"Who Has The Best 'New Year, New Me' Order | BuzzFeed India",2023-01-07,248018,10221,179,BuzzFeed India,Jan
