,Video_id,Title,Published_date,Views,Likes,Comments,Month
0,eGIfls_uW1Y,ChatGPT helped me create this KBC Quiz App (Watch me Build it),2023-03-29,15511,867,127,Mar
1,J_5zLDLVCsk,Fastest Way to Learn React in 2023 🔥,2023-03-28,50990,6176,763,Mar
2,M-dutzdupbs,"AWS Activate: A Program to Support Startups, Founders, & Entrepreneurs  | Amazon Web Services",2023-03-28,13596,673,126,Mar
3,fqF9M92jzUo,Python Crash Course in Hindi | 5 Python Projects | Complete Python Tutorial,2023-03-25,98535,5708,827,Mar
4,gTj2OWd5YnM,Python vs JavaScript: Which one to Learn in 2023? (For Jobs),2023-03-18,170142,8389,731,Mar
5,f00Kxt-PFYA,"Choosing the Right Python Web Framework: Django, Flask, or FastAPI?",2023-03-15,37818,1668,295,Mar
6,NvjKXwt7n48,What is a Graph Database? | Getting Started with Neo4j AuraDB: A Step-by-Step Tutorial 🔥,2023-03-14,16486,826,160,Mar
7,azeSJeje5cA,Free Office 365 on your Own Server (NextCloud Tutorial),2023-03-13,21566,909,120,Mar
8,EMjRSJDJJ90,Stop Saving Your Passwords like this (Use Passky Instead!),2023-03-12,22273,1112,159,Mar
9,7Wkpx4m6fjQ,Install VS Code/FireFox like Apps on Ubuntu Server (Get 1GBPS Internet Speed for Free),2023-03-11,27504,1011,161,Mar
10,ZWgzaTEjetE,I Created Discord like Calling App in 5 Minutes... (With Custom Domain),2023-03-10,29865,1271,155,Mar
11,fC9XYyqjY2Y,Docker Made Easy: Discover the Magic of Yacht,2023-03-08,19220,771,183,Mar
12,5Pz8WGiMJ_c,Conclusion and Where to go from here | Python Tutorial - Day #100,2023-03-07,50442,3195,549,Mar
13,18vZnLqXMoM,Exercise 11: Solution + Shoutouts - Desktop Notification System | Python Tutorial - Day #99,2023-03-06,14683,500,186,Mar
14,zGe-9LfnAaA,MultiProcessing in Python | Python Tutorial - Day #98,2023-03-05,13912,567,99,Mar
15,ICbU6zAKtqQ,Multithreading in Python | Python Tutorial - Day #97,2023-03-04,13487,600,101,Mar
16,lgoB3_-ejnI,AsyncIO in Python | Python Tutorial - Day #96,2023-03-03,12968,537,124,Mar
17,TCWOwavqFrw,Regular Expressions in Python | Python Tutorial - Day #95,2023-03-02,13026,522,96,Mar
18,1i4piFhpnm8,Exercise 11 - Drink Water Reminder | Python Tutorial - Day #94,2023-03-01,12390,484,181,Mar
19,bnAz7Kb2efE,Exercise 10 - News App Solution & Shoutout | Python Tutorial - Day #93,2023-02-28,12725,494,99,Feb
20,s6J3TmqKJ0M,SearX: The Private Search Engine You Need to Know About!,2023-02-28,76503,3206,375,Feb
21,K8gjSwc3Rlo,Function Caching in Python | Python Tutorial - Day #92,2023-02-27,10676,541,94,Feb
22,ixd-u3pmsUc,Generators in Python | Python Tutorial - Day #91,2023-02-26,12365,585,81,Feb
23,dR4eijxUubw,I Can Speak Like Shah Rukh Khan - Thanks to this AI 🔥,2023-02-26,261814,12515,1588,Feb
24,BGzFp9mwFQ4,Exercise 10: News App in Python | Python Tutorial - Day #90,2023-02-25,12663,562,78,Feb
25,Nsb3bLIlO4w,Requests Module in Python | Python Tutorial - Day #89,2023-02-24,11826,545,131,Feb
26,C9VP-56RXNM,Exercise 9: Solution - Shoutouts to Everyone | Python Tutorial - Day #88,2023-02-23,9712,416,134,Feb
27,wII2JhNACJE,Shutil Module in Python | Python Tutorial - Day #87,2023-02-22,11868,649,151,Feb
28,NCmMEEyzLT8,Walrus Operator in Python | Python Tutorial - Day #86,2023-02-21,12353,576,84,Feb
29,TgacEFIP7rQ,Look like a hacker (With this Trick) 🔥🔥,2023-02-21,402242,40402,223,Feb
30,3IAu6-pgw7I,Creating command line utility in python | Python Tutorial - Day #85,2023-02-20,12703,590,122,Feb
31,oTtIvV-Q1FY,Time Module in Python | Python Tutorial - Day #84,2023-02-19,12931,615,386,Feb
32,XM6kTQPzzpQ,[Scary] ChatGPT generated this website for me (I am scared) 😢😭,2023-02-19,636570,17509,941,Feb
33,1WjwnlRXfHc,Exercise 9 - Shoutouts to Everyone | Python Tutorial - Day #83,2023-02-18,9891,477,91,Feb
34,I-guKYvzzzM,OpenAI Secret Trick - Automated ChatGPT 🔥🔥,2023-02-18,399611,31679,152,Feb
35,qKKGemhBRVM,Exercise 8 - Merge the Pdf Solution in Python | Python Tutorial - Day #82,2023-02-17,11305,509,77,Feb
36,c5k-P14rEGg,AWS Innovate Online Conference 🔥,2023-02-17,17625,1007,122,Feb
37,B4Q8zxRkm_I,Hybrid and Hierarchical Inheritance in Python | Python Tutorial - Day #81,2023-02-16,10953,552,81,Feb
38,Il7XMJJeXiA,Multilevel Inheritance in Python | Python Tutorial - Day #80,2023-02-15,11305,576,128,Feb
39,4o7xSHgKlvI,Multiple Inheritance in Python | Python Tutorial - Day #79,2023-02-14,11528,585,83,Feb
40,U53_Gw55NI8,Single Inheritance in Python | Python Tutorial - Day #78,2023-02-13,12014,594,100,Feb
41,_Qx2OyixABc,Enhance your app's security with this tool 🔥,2023-02-12,72173,7333,60,Feb
42,D67-b2t-y4k,Operator Overloading in Python | Python Tutorial - Day #77,2023-02-12,13659,633,100,Feb
43,uUbvJ7ZEhPE,Exercise 8 - Merge the PDF | Python Tutorial - Day #76,2023-02-11,13954,608,116,Feb
44,Wt9Shnzv_Yg,Exercise 7 Solution + Shoutouts | Python Tutorial - Day #75,2023-02-10,12070,540,80,Feb
45,46_yfYC36JY,Method Overriding in Python | Python Tutorial - Day #74,2023-02-09,13591,613,89,Feb
46,bgM7BVwkqMo,"Spot the bug, I challenge you! 👨‍💻",2023-02-09,20970,1369,163,Feb
47,DmgQVJXhuLQ,Magic/Dunder Methods in Python | Python Tutorial - Day #73,2023-02-08,14035,722,96,Feb
48,P648reefNh0,super keyword in Python | Python Tutorial - Day #72,2023-02-07,14915,736,111,Feb
49,Wgo9TaBcuJ4,"dir, __dict__ and help method in Python | Python Tutorial - Day #71",2023-02-06,14155,747,87,Feb
50,FGlKJdy--p8,Class Methods as Alternative Constructors in Python | Python Tutorial - Day #70,2023-02-05,15549,740,173,Feb
51,9ynmDLc5FYo,Class Methods in Python | Python Tutorial - Day #69,2023-02-04,17033,782,128,Feb
52,aPlSyQNkCvM,"Lets Build a News App Using ExpressJs +HTML, CSS and JavaScript (Awesome Project) 🔥",2023-02-04,53677,2169,181,Feb
53,6KvnP13TnhY,Exercise 7 - Clear the Clutter | Python Tutorial - Day #68,2023-02-03,13101,618,100,Feb
54,M9Y6Rcg8nEM,Appwrite - An Easy to setup Open-Source Backend Server 🔥,2023-02-03,50308,1844,122,Feb
55,uRIEjf2vCIg,Exercise 6 Solution - Library Management Software in Python | Python Tutorial - Day #67,2023-02-02,14632,622,125,Feb
56,tQdaeiF4j38,Instance variables vs Class variables in Python | Python Tutorial - Day #66,2023-02-01,16377,843,104,Feb
57,GcSVYNSsJxo,Static Methods in Python | Python Tutorial - Day #65,2023-01-31,18810,918,219,Jan
58,mlDZTSH2FFc,Exercise 6 - Library Management System in Python | Python Tutorial - Day #64,2023-01-30,17626,817,113,Jan
59,GkfBpm6MN9A,Snake Water Gun Game in Python - Exercise 5 - Solution | Python Tutorial - Day #63,2023-01-29,20963,865,124,Jan
60,43FK20rWvKQ,Access Modifiers in Python | Python Tutorial - Day #62,2023-01-28,20581,1022,124,Jan
61,-KsfUaQEY9Y,Inheritance in Python | Python Tutorial - Day #61,2023-01-27,23510,1103,126,Jan
62,9wdHLZSowFk,Learn to Install and Manage Applications on Cloudron | Cloudron Tutorial,2023-01-27,11286,510,59,Jan
63,2gbCT8h9uyk,Getters and Setters in Python | Python Tutorial - Day #60,2023-01-26,24852,1063,162,Jan
64,PTBZ674EsvI,Decorators in Python | Python Tutorial - Day #59,2023-01-25,31741,1474,152,Jan
65,12HRkYld22c,Constructors in Python | Python Tutorial - Day #58,2023-01-24,30731,1359,177,Jan
66,a7baAGCBA9U,Classes and Objects in Python | Python Tutorial - Day #57,2023-01-23,39091,1715,355,Jan
67,HQnoYzxOHMw,Introduction to OOPs in Python | Python Tutorial - Day #56,2023-01-22,38854,1752,218,Jan
68,dDsh7FT6-0I,Exercise 5 - Snake Water Gun | Python Tutorial - Day #55,2023-01-21,22986,1021,189,Jan
69,TOemdfX_0xc,'is' vs '==' in Python | Python Tutorial - Day #54,2023-01-20,21257,1261,260,Jan
70,MPnyzJ3TmG4,Tatum: An Amazing platform for Web 3 developers,2023-01-20,34871,1596,171,Jan
71,OErhjT4f5Cs,"Map, Filter and Reduce in Python | Python Tutorial - Day #53",2023-01-19,28084,1439,384,Jan
72,UfFWf-PXUqE,Lambda functions in Python | Python Tutorial - Day #52,2023-01-18,29356,1437,174,Jan
73,PByYX-2l5Us,"seek(), tell() and other functions | Python Tutorial - Day #51",2023-01-17,24633,1382,176,Jan
74,ZEcc3bJI6No,Tips to get Foreign Internship - Part 2,2023-01-17,90848,9322,77,Jan
75,l1FsnQxET9U,"read(), readlines() and other methods | Python Tutorial - Day #50",2023-01-16,28057,1332,261,Jan
76,9-WJvGRSxLc,Tips to get Foreign Internship - Part 1,2023-01-16,109764,11959,97,Jan
77,eDBPlcWYses,File IO in Python | Python Tutorial - Day #49,2023-01-15,35299,1576,173,Jan
78,RaG6GgcDt54,Local vs Global Variables in Python| Python Tutorial - Day #48,2023-01-14,27414,1467,215,Jan
79,AaF9pE3bxFg,PC and App Streaming on the Browser: Kasm Workspaces,2023-01-14,16731,819,107,Jan
80,4lSQfOJKn7U,Exercise 4: Solutions and Shoutouts | Python Tutorial - Day #47,2023-01-13,24173,1045,161,Jan
81,dkVYSsL90Oo,os Module in Python | Python Tutorial - Day #46,2023-01-12,34552,1660,208,Jan
82,y_CX2Rvitk8,"if __name__ == ""__main__"" in Python | Python Tutorial - Day #45",2023-01-11,33780,1823,249,Jan
83,Pr7UOr35NcI,How import works in Python | Python Tutorial - Day #44,2023-01-10,30298,1611,208,Jan
84,g0TpCVpLAs4,Can ChatGPT solve JEE Advanced Problem?,2023-01-10,300424,10568,772,Jan
85,bXO34hZSVHo,*One* tip to learn programming fast,2023-01-10,292344,36191,292,Jan
86,nt6LlFTWOkg,Virtual Environment in Python | Python Tutorial - Day #43,2023-01-09,36742,1696,210,Jan
87,jB1isjVGZ8U,I asked ChatGPT to write me a standup comedy script!,2023-01-09,108994,4705,297,Jan
88,qOk-fz_4ivg,Avoid this mistake as a coder!,2023-01-09,161364,19544,83,Jan
89,kGnYc_h1geM,Enumerate Function in Python | Python Tutorial - Day #42,2023-01-08,32434,1618,160,Jan
90,Qqx_zNmQVGI,Short hand if else statements | Python Tutorial - Day #41,2023-01-07,30805,1700,290,Jan
91,C9e1TxDz-ig,Which programming language to learn first?🔥,2023-01-07,144930,14704,144,Jan
92,pOWJ6WgVRIU,Exercise 4: Secret Code Language | Python Tutorial - Day #40,2023-01-06,33563,1579,350,Jan
93,HKYzzZYB3dQ,5 ways to make money as a programmer 🤑,2023-01-06,151357,21382,65,Jan
94,nyfeYAxP-EM,Kaun Banega Crorepati: Exercise 3 - Solution & Shoutouts | Python Tutorial - Day #39,2023-01-05,44193,1720,262,Jan
95,AWdMWWfJNGE,One Harsh truth about programming ☹️,2023-01-05,193795,23587,194,Jan
96,Phr4CNppYoM,Raising custom errors in Python | Python Tutorial - Day #38,2023-01-04,38322,2041,343,Jan
97,tzJHEQEv5Wo,5 ways to master programming logic 🔥,2023-01-04,219583,35924,96,Jan
98,r_iuC-IDpPM,Finally keyword in Python | Python Tutorial - Day #37,2023-01-03,37326,2081,232,Jan
99,-ABzZmiAd-k,5 Tips for Maximum Package College Placement,2023-01-03,177229,21758,89,Jan
100,4LKo6dlku7M,Exception Handling in Python | Python Tutorial - Day #36,2023-01-02,48929,2248,250,Jan
101,W8kdqcXVcIQ,I Interviewed ChatGPT 🔥,2023-01-01,580674,36598,588,Jan
102,FuUWQg8igsA,ChatGPT will replace you....,2023-01-01,487191,20777,1424,Jan
103,qUkcIgErZzc,for Loop with else in Python | Python Tutorial - Day #35,2023-01-01,34528,2037,280,Jan
104,FnWIRTV3G0Q,Make more money with these 5 Non Tech Skills💰💰,2023-01-01,101943,12959,65,Jan
105,LmbFwaLjT9k,Dictionary Methods in Python | Python Tutorial - Day #34,2022-12-31,36382,1920,270,Dec
