,Video_id,Title,Published_date,Views,Likes,Comments,Channel_Title,Month
0,czNtKz7Vgso,Finding Peace :  My 100km Spiritual Journey Across the Narmada River,2023-04-21,6147,1516,0,Monkey Magic,Apr
1,0NoBFYeEoS0,#16 apne INDIA mai etna Snowfall 😮,2023-03-27,252933,29810,163,Monkey Magic,Mar
2,56zdSBOK5XM,I spent 4 days in INDIA's coldest Village near LOC,2023-03-26,305948,19281,707,Monkey Magic,Mar
3,gwvgnrcgpqo,The day i faced death in the Himalayas (Snow Leopards),2023-03-12,743901,64112,2923,Monkey Magic,Mar
4,Bq8ceHWpZH8,#15 My new best friend is a COW,2023-03-12,4354965,380859,2936,Monkey Magic,Mar
5,ifeh9Na_KTE,#14 aisa INDIA pehle dekha nahi hoga (-45c) 🇮🇳,2023-03-11,1241160,183054,1032,Monkey Magic,Mar
6,TV94aG1zANM,#13 I made the perfect Momo,2023-03-09,1987137,190958,249,Monkey Magic,Mar
7,TbE-feeUONI,A day in my life in -25c (casual vlog),2023-03-07,162955,13225,847,Monkey Magic,Mar
8,7ASKhXG-5wk,#12 I saw 3 Snow Leopards up close in Ladakh,2023-03-07,5596423,531920,1645,Monkey Magic,Mar
9,9x_vmJVet1I,#11 I went to Snow Leopard Village of Ladakh  | Monkey Magic,2023-03-06,4617997,285652,195,Monkey Magic,Mar
10,QBO4AKNptK8,#10 Heavy Driver of Zanskar 💀💀,2023-03-02,650035,82968,203,Monkey Magic,Mar
11,Fbnr_JvSzHo,#09 Sardi Etni ki Mucho mai Baraf Jam gyi,2023-03-01,1099879,96846,137,Monkey Magic,Mar
12,DYckcUv0MLY,#08 Hidden Beauty of India 🇮🇳,2023-02-28,453223,62203,168,Monkey Magic,Feb
13,_X8Lty4Vbno,I walked on a Frozen River to see this view (-25c) 🤯,2023-02-27,351119,28372,1844,Monkey Magic,Feb
14,zswtJwoPa7I,#07 100ft long FROZEN WATERFALL!!  🤯,2023-02-26,745399,104914,211,Monkey Magic,Feb
15,d3Jwth6pZms,Walking on Frozen River in -30c (Trailer) | Chadar Trek (Ladakh),2023-02-25,56087,5767,367,Monkey Magic,Feb
16,s86IQud-GXM,#06 This Chadar is Dangerous! 🥶 | Monkey Magic,2023-02-25,801948,98872,192,Monkey Magic,Feb
17,MeCBZFmyfFk,#05 Mystical Waterfall Story 😮,2023-02-24,1704980,199218,326,Monkey Magic,Feb
18,0xkGhdhDP14,#04 Walking on Frozen River for 4 Days - Chadar Trek ❄️,2023-02-23,1821084,165745,247,Monkey Magic,Feb
19,gMrliiFl4L0,#03 Meet Team Fantastic 😎,2023-02-22,1452162,167424,278,Monkey Magic,Feb
20,5ZstswFzAvY,#02 Sapno ki Kitaab & -40c mai naya adventure #peakwinterladakh,2023-02-21,582461,75052,255,Monkey Magic,Feb
21,Lz_9E5shn_k,#01 -35c mai aagya Ladakh 🥶 | Monkey Magic #peakwinterladakh,2023-02-20,839186,105984,344,Monkey Magic,Feb
22,ZIkuIyItp9A,I got XUV 400 for test drive..par maine thokk di | Monkey Magic,2023-02-10,168381,13952,739,Monkey Magic,Feb
23,nM_fHMu6W98,I took my Subscribers on a Free RoadTrip | Monkey Magic,2023-01-21,227300,20493,1493,Monkey Magic,Jan
24,GzbWx-3TnSw,I predicted this in 2022  #shorts,2023-01-01,814760,116243,549,Monkey Magic,Jan
25,xxx9JTeTlGY,I went on a Roadtrip across Nagaland with a Stranger,2022-12-31,684478,58349,4186,Monkey Magic,Dec
26,9vONA5DoeKI,#21 I will miss them.. ❤️ | Monkey Magic #shorts,2022-12-28,1349791,165672,851,Monkey Magic,Dec
27,75Th2hRK7ig,#20 Life ki Choti Choti Khushiya  | Monkey Magic,2022-12-27,619476,94587,373,Monkey Magic,Dec
28,oEb0YeXUJ0Y,#19 Christmas in Delhi vs Kohima | Monkey Magic #shorts,2022-12-26,853462,96984,607,Monkey Magic,Dec
29,NuMWXQKmxN0,#18 Raat ke 3:00 bje Jungle mai phass gaya..  | Monkey Magic #shorts,2022-12-25,450754,73520,274,Monkey Magic,Dec
30,QbxBJ1Flz5E,#17 Lift mangi thi..par ye kya hogya? | Monkey Magic | Nagaland Series #shorts,2022-12-24,479666,83987,289,Monkey Magic,Dec
31,mbEVadHX3dY,#16 Secret Stone Bridge of Nagaland | Monkey Magic #shorts,2022-12-23,8163788,643152,785,Monkey Magic,Dec
32,1gzofwfxw4I,#15 FIFA FINALE celebrations in North East India 🇮🇳 | Monkey Magic #shorts #FIFA,2022-12-22,345672,51663,207,Monkey Magic,Dec
33,_GICbxPngKI,#14 Struggles of travelling in Nagaland 😩 | Monkey Magic,2022-12-21,626445,83671,276,Monkey Magic,Dec
34,c85Q5q77dqg,#13 Bye Bye Jangzee 👋🏽👋🏽 (Hardest Goodbye) | Monkey Magic,2022-12-20,638256,107154,1453,Monkey Magic,Dec
35,3WwCgE5RCw8,#12 Hidden Beauty of Nagaland!! | Monkey Magic,2022-12-19,627588,110439,502,Monkey Magic,Dec
36,8Wo9jMjMs6Y,#11 8:30 am Wedding in Nagaland,2022-12-18,1100473,141095,729,Monkey Magic,Dec
37,tjoNYfc-Wb0,#10 I am going on an adventure with a Girl I just met,2022-12-17,684853,90454,648,Monkey Magic,Dec
38,ZDtOe1OAE_M,#09 Meet my new 'Friend' 🤗,2022-12-16,903182,119069,1759,Monkey Magic,Dec
39,wT_-MPwhGXw,#08 Kohima Night Market is Amazinggg 🥳🤩 | Monkey Magic,2022-12-15,496052,73510,262,Monkey Magic,Dec
40,_uVfH4r3HMc,#07 Festival par bani nayi DOST 🤭,2022-12-14,618445,82628,264,Monkey Magic,Dec
41,kJp8spR4SOQ,#06 This is the Biggest Festival of Nagaland 😎✊🏽🎡,2022-12-13,900398,117674,377,Monkey Magic,Dec
42,tPBb9mZxEzY,#05 Ye Nagaland hai ki Thailand? 😮,2022-12-12,681316,91906,326,Monkey Magic,Dec
