,Channel_name,Subscribers,Views,Total_videos,playlist_id
0,Aman Dhattarwal,4320000,353139169,490,UUmXZxX_qexEZxhb5_vQKPCw
1,Apna College,3480000,505388799,694,UUBwmMxybNva6P_5VmxjzwqA
2,BB Ki Vines,26100000,4642887797,189,UUqwUrj10mAEsqezcItqvwEw
3,CodeWithHarry,3880000,512004660,2027,UUeVMnSShP_Iviwkknt83cww
4,Q2HAN,687000,86034802,781,UUxANYxgMTfJp3ZE8opnvJvQ
5,BuzzFeed India,890000,295737802,531,UUmDgY7fZKvgatlO0Tib2ggQ
6,linh truong,1040000,54359637,130,UUDivkE8Ckgk14fu1XChEp7w
7,Physics Wallah - Alakh Pandey,9910000,1859048830,1447,UUiGyWN6DEbnj2alu7iapuKQ
8,techTFQ,182000,8798872,87,UUnz-ZXXER4jOvuED5trXfEA
9,Monkey Magic,1740000,473342166,260,UUbuj4kbjP05NLiWUbpSuBPw
10,take U forward,327000,31802064,386,UUJskGeByzRRSvmOyZOz61ig
11,ashish chanchlani vines,29500000,4333026519,149,UU7eHZXheF8nVOfwB2PEslMw
12,Rosie Maio,327000,22224692,35,UU34-KrZlJEfTLmD52lVxxsA
