,Video_id,Title,Published_date,Views,Likes,Comments,Channel_Title,Month
0,oR2qchy0Xps,VS Code Snippets Tutorial 👨‍💻,2023-04-21,2024,328,0,CodeWithHarry,Apr
1,DhdgE54WdnE,Elon Musk's Interview Question 🏪,2023-04-20,39830,3675,45,CodeWithHarry,Apr
2,E1kDTUf6bsA,Password generator in Python!,2023-04-15,88943,8634,108,CodeWithHarry,Apr
3,hCIpn4KsLAs,VS Code Mouse Wheel Trick 🔥,2023-04-15,60196,6208,100,CodeWithHarry,Apr
4,4qd_ZqnFAfE,ChatGPT ❌,2023-04-14,88838,7376,178,CodeWithHarry,Apr
5,sRMjLjzF1ac,ChatGPT fooled a human!,2023-04-13,425199,29186,335,CodeWithHarry,Apr
6,iA1ndcZls4Y,How to Host Multiple Websites on a $5 Server (Step by Step Guide),2023-04-10,27083,959,266,CodeWithHarry,Apr
7,WppdGf2s3Wc,Learn Web Development Fast!,2023-04-09,165313,19971,1450,CodeWithHarry,Apr
8,IzcEH8QgoqY,Exploring Requests Module in Python (Deepdive),2023-04-08,19354,777,181,CodeWithHarry,Apr
9,t2wlUo6OrtE,5 Tricks of Google Search,2023-04-07,129312,15469,110,CodeWithHarry,Apr
10,L2ytoxTb9nw,Download More Ram 💻,2023-04-06,148220,13030,803,CodeWithHarry,Apr
11,rkd7w0uET-M,Quick and Easy Guide to Set up Your WordPress Blog in Minutes (Fastest Way),2023-04-06,22099,1014,213,CodeWithHarry,Apr
12,f1w8nYcbbrY,ChatGPT is Good for Jobs!,2023-04-05,114948,10324,81,CodeWithHarry,Apr
13,vXukD04sW9o,Aws Activate for Startups!,2023-04-04,48146,4470,31,CodeWithHarry,Apr
14,kMn5MlqKv1Y,Fake Windows Update 💻,2023-03-30,167691,13551,229,CodeWithHarry,Mar
15,eGIfls_uW1Y,ChatGPT helped me create this KBC Quiz App (Watch me Build it),2023-03-29,58146,2008,335,CodeWithHarry,Mar
16,J_5zLDLVCsk,Fastest Way to Learn React in 2023 🔥,2023-03-28,129764,12927,1140,CodeWithHarry,Mar
17,M-dutzdupbs,"AWS Activate: A Program to Support Startups, Founders, & Entrepreneurs  | Amazon Web Services",2023-03-28,20650,873,133,CodeWithHarry,Mar
18,fqF9M92jzUo,Python Crash Course in Hindi | 5 Python Projects | Complete Python Tutorial,2023-03-25,206214,9155,1176,CodeWithHarry,Mar
19,gTj2OWd5YnM,Python vs JavaScript: Which one to Learn in 2023? (For Jobs),2023-03-18,221648,10072,818,CodeWithHarry,Mar
20,f00Kxt-PFYA,"Choosing the Right Python Web Framework: Django, Flask, or FastAPI?",2023-03-15,50176,1991,309,CodeWithHarry,Mar
21,NvjKXwt7n48,What is a Graph Database? | Getting Started with Neo4j AuraDB: A Step-by-Step Tutorial 🔥,2023-03-14,18286,882,160,CodeWithHarry,Mar
22,azeSJeje5cA,Free Office 365 on your Own Server (NextCloud Tutorial),2023-03-13,22841,946,117,CodeWithHarry,Mar
23,EMjRSJDJJ90,Stop Saving Your Passwords like this (Use Passky Instead!),2023-03-12,23619,1160,165,CodeWithHarry,Mar
24,7Wkpx4m6fjQ,Install VS Code/FireFox like Apps on Ubuntu Server (Get 1GBPS Internet Speed for Free),2023-03-11,29134,1046,160,CodeWithHarry,Mar
25,ZWgzaTEjetE,I Created Discord like Calling App in 5 Minutes... (With Custom Domain),2023-03-10,31472,1318,153,CodeWithHarry,Mar
