,Video_id,Title,Published_date,Views,Likes,Comments,Channel_Title,Month
0,7skZzocEU6c,Solving a Complex SQL Interview problem | Practice SQL Queries,2023-03-21,19263,570,78,techTFQ,Mar
1,LZGaRcDxj8I,REAL SQL Interview Problem | Hierarchical data in SQL,2023-03-14,10444,485,47,techTFQ,Mar
2,rBPQ5fg_kiY,Complete guide to Database Normalization in SQL,2023-03-07,21459,1160,177,techTFQ,Mar
3,hvwltYazuQo,SQL Live class on Lighthall | Learn SQL from Basic to Advance in SQL Bootcamp,2023-01-26,10208,233,148,techTFQ,Jan
4,a-hFbr-4VQQ,How to learn SQL for free | Roadmap to learning SQL,2022-12-28,222086,7617,314,techTFQ,Dec
5,pMNcPLc9Z7c,Solving an SQL Interview Problem,2022-12-18,21956,901,10,techTFQ,Dec
6,zZKb8FQRShs,Solving SQL Interview Query | Find Tree Node type using SQL,2022-12-12,16671,734,48,techTFQ,Dec
7,jS5_hjFgfzA,Solving SQL Interview Query for Data Analyst asked by a Product based company,2022-12-07,268139,6647,203,techTFQ,Dec
8,6UAU79FNBjQ,Solving a tricky SQL Interview Query,2022-11-21,36406,1250,111,techTFQ,Nov
9,ZwFfiadQB3k,SQL Interview Query for Data Analyst,2022-11-14,35270,1286,56,techTFQ,Nov
10,Det4ZjBSe3M,Solving a Complex SQL Interview Problem | Find the Most Modified File Extension,2022-10-31,21207,841,64,techTFQ,Oct
11,xUsY2jWQa1w,SQL JOINS Interview Question | What does different SQL Joins return?,2022-10-24,149449,4967,281,techTFQ,Oct
12,ueOUSjdAZY8,Google SQL Interview Problem | Solving SQL Interview Query,2022-10-10,28857,1089,117,techTFQ,Oct
13,90iK6gGvG_g,SQL Interview Problem asked by Product Based Company | Solving SQL Interview Query,2022-10-05,48342,1880,125,techTFQ,Oct
14,hsaPfEvForM,How to become a Data Analyst FASTER ?,2022-09-30,83965,3547,185,techTFQ,Sep
15,jb8XlF2dkoY,Tricky SQL Interview Query | Practice Solving SQL Interview Queries,2022-09-22,24952,792,93,techTFQ,Sep
16,WhkNQ3g0U64,"Solving SQL Interview Query using a ""VERY IMPORTANT SQL concept""",2022-09-19,86439,2116,165,techTFQ,Sep
17,_suB8xV9aPc,Solving SQL Interview Query | SQL Problem by Service based company,2022-09-16,24565,960,69,techTFQ,Sep
18,dWHSt0BVlv0,Practice SQL Interview Query | Big 4 Interview Question,2022-09-12,59259,2287,145,techTFQ,Sep
19,xJVWL7eMir0,Solving SQL Interview Query | Ungroup given input data | FAANG Interview Query,2022-09-08,28728,867,77,techTFQ,Sep
20,h48xzQR3wNQ,How to remove Duplicate Data in SQL | SQL Query to remove duplicate,2022-09-02,168242,4385,194,techTFQ,Sep
21,S5gX-LLAZIM,Solving Complex SQL Query from HackerRank | SQL Interview Query,2022-08-10,52088,1408,136,techTFQ,Aug
22,LNlzx-YX8rI,Data Analyst vs Business Analyst | What should you choose?,2022-07-26,23108,1036,103,techTFQ,Jul
23,WzkBZ0byoYE,Materialized View in SQL | Faster SQL Queries using Materialized Views,2022-07-07,42945,1251,155,techTFQ,Jul
24,weCZ1WynbMI,Learn SQL the right way | SQL Live Training | Learn SQL from me,2022-06-28,26167,571,188,techTFQ,Jun
25,3dOxGYkpVbE,SQL Interview Assignment Queries | REAL SQL Assignment given in Interview Part 2 (Query Solution),2022-06-21,19627,518,50,techTFQ,Jun
26,9dLXZrw6nac,SQL Interview Assignment Queries | REAL SQL Assignment given in Interview Part 1 (Problem Statement),2022-06-17,16561,526,79,techTFQ,Jun
27,i3xK7Nc414Q,REAL SQL Interview Question | Complex SQL Interview Query and Solution,2022-06-03,52853,1323,107,techTFQ,Jun
28,H7YMumanHBA,Top 10 Tips for JOB Interview | Tips for Job Interview,2022-05-25,13338,539,47,techTFQ,May
